City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain,Snow
Barrow,US,71.29,-156.79,35.6,93,90,19.46,,0.0,0
Georgetown,MY,5.41,100.34,82.4,88,20,2.24,,0.0,0
Albany,US,42.6,-73.97,82.99,71,97,3.42,,2.18,0
Mpanda,TZ,-6.37,31.04,67.42,48,31,2.95,,0.0,0
Carnarvon,AU,-24.87,113.63,59.0,77,0,3.36,,0.0,0
Qaanaaq,GL,77.48,-69.36,44.53,65,8,2.13,,0.0,0
Bredasdorp,ZA,-34.53,20.04,50.0,87,2,2.24,,0.0,0
Coahuayana,MX,18.73,-103.68,75.2,88,90,5.28,,0.0,0
Hilo,US,19.73,-155.09,78.8,65,1,3.87,,0.0,0
Hofn,IS,64.25,-15.21,44.6,75,75,11.41,,0.0,0
Lensk,RU,60.73,114.93,54.68,67,22,3.67,,0.0,0
Spartanburg,US,34.95,-81.93,89.6,43,40,5.82,,0.0,0
Port Alfred,ZA,-33.59,26.89,55.0,82,1,3.0,,0.0,0
Bengkulu,ID,-3.8,102.27,76.96,87,44,5.7,,0.24,0
Bandarbeyla,SO,9.49,50.81,79.88,70,15,33.29,,0.0,0
Hermanus,ZA,-34.42,19.23,48.0,91,25,4.41,,0.0,0
Gushikawa,JP,26.35,127.87,82.4,88,90,8.05,,0.0,0
Barroquinha,BR,-3.02,-41.14,90.82,47,57,7.31,,0.0,0
Ushuaia,AR,-54.8,-68.3,28.4,100,90,1.54,,0.0,0
Yinchuan,CN,38.47,106.27,66.22,69,99,10.31,,0.0,0
Bodden Town,KY,19.28,-81.25,89.01,79,40,9.17,,0.0,0
Port Elizabeth,ZA,-33.92,25.57,51.8,81,0,4.7,,0.0,0
Camalu,MX,30.85,-116.07,75.97,51,0,9.73,,0.0,0
Tuntum,BR,-5.26,-44.65,91.6,42,34,4.74,,0.0,0
Niteroi,BR,-22.88,-43.1,71.6,68,75,16.11,,0.0,0
Abaza,RU,52.66,90.09,60.53,72,0,4.09,,0.0,0
Santa Luzia,BR,-19.77,-43.85,78.8,41,40,9.17,,0.0,0
Mataura,NZ,-46.19,168.86,39.0,83,100,3.0,,0.0,0
East London,ZA,-33.02,27.91,61.84,67,0,6.42,,0.0,0
Lebu,CL,-37.62,-73.65,52.65,86,98,14.9,,1.36,0
Castro,BR,-24.79,-50.01,58.24,45,0,4.18,,0.0,0
Ilulissat,GL,69.22,-51.1,46.4,65,20,5.82,,0.0,0
Tiznit,MA,29.58,-9.5,88.25,25,0,6.46,,0.0,0
Saquena,PE,-4.67,-73.52,81.77,88,67,2.21,,2.75,0
Ketchikan,US,55.34,-131.65,57.2,71,75,6.93,,0.0,0
Narsaq,GL,60.92,-46.05,68.0,16,20,12.75,,0.0,0
Awbari,LY,26.59,12.78,96.28,9,0,12.86,,0.0,0
Labuhan,ID,-6.88,112.21,77.7,79,24,6.89,,0.0,0
Sitka,US,57.05,-135.33,57.2,76,75,8.05,,0.0,0
Burnie,AU,-41.07,145.92,46.0,80,90,5.01,,0.0,0
Bluff,NZ,-46.6,168.33,39.0,83,100,3.0,,0.0,0
Lorengau,PG,-2.02,147.27,82.94,74,41,6.87,,0.11,0
Marawi,PH,8.0,124.29,73.0,96,94,4.0,,0.0,0
Leningradskiy,RU,69.38,178.42,49.71,58,36,7.0,,0.0,0
Krasnyy Yar,RU,46.53,48.35,77.0,50,0,6.71,,0.0,0
Gat,IL,31.61,34.76,82.0,82,0,5.48,,0.0,0
Busselton,AU,-33.65,115.33,54.0,55,82,15.77,,0.0,0
Tazovskiy,RU,67.47,78.7,55.47,85,100,13.0,,0.63,0
Yumen,CN,40.28,97.2,75.09,19,32,6.13,,0.0,0
Tuktoyaktuk,CA,69.45,-133.04,39.2,93,90,5.82,,0.0,0
Solnechnyy,RU,50.72,136.63,67.57,57,85,6.33,,0.0,0
Gastonia,US,35.26,-81.19,93.0,43,20,2.93,,0.0,0
Khatanga,RU,71.97,102.5,47.35,62,0,10.87,,0.0,0
Tasiilaq,GL,65.61,-37.64,57.2,35,75,13.87,,0.0,0
Ribeira Grande,PT,38.52,-28.7,71.6,83,40,5.82,,0.0,0
Kontagora,NG,10.4,5.47,81.32,79,61,4.79,,4.31,0
Camacha,PT,33.08,-16.33,69.8,68,40,18.34,,0.0,0
Emilio Carranza,MX,19.97,-96.61,86.31,60,0,7.47,,0.0,0
Wexford,IE,52.33,-6.46,57.99,100,75,19.46,,0.0,0
Fukue,JP,32.69,128.84,75.94,94,100,15.73,,2.27,0
Faanui,PF,-16.48,-151.75,79.92,83,51,11.9,,0.0,0
Rocha,UY,-34.48,-54.33,54.61,67,25,11.05,,0.0,0
Prado,BR,-17.34,-39.22,78.17,72,26,8.1,,0.0,0
Kalmunai,LK,7.42,81.82,80.87,74,100,8.25,,0.25,0
Shu,KZ,43.6,73.76,65.26,47,9,3.18,,0.0,0
Embonas,GR,36.23,27.86,82.99,74,0,10.29,,0.0,0
Koumac,NC,-20.57,164.28,64.4,82,18,5.79,,0.0,0
Olafsvik,IS,64.89,-23.71,52.7,66,15,3.33,,0.0,0
Clinton,US,42.59,-82.92,91.0,55,40,8.05,,0.0,0
Hobart,AU,-42.88,147.33,44.6,65,90,12.75,,0.0,0
Glenwood Springs,US,39.55,-107.32,79.0,33,75,3.36,,0.0,0
Batouri,CM,4.43,14.37,71.78,92,73,1.3,,1.35,0
Severo-Kurilsk,RU,50.68,156.12,45.32,81,41,15.37,,0.0,0
Palmer,US,42.16,-72.33,73.4,88,90,4.7,,0.76,0
Tanout,NE,14.97,8.89,101.1,14,71,7.14,,0.0,0
Provideniya,RU,64.38,-173.3,49.32,63,33,3.49,,0.0,0
Waingapu,ID,-9.66,120.26,74.89,85,24,11.95,,0.0,0
Morondava,MG,-20.28,44.28,72.12,74,0,11.32,,0.0,0
Saint Anthony,US,45.02,-93.22,91.0,40,1,3.36,,0.0,0
Tarko-Sale,RU,64.92,77.78,60.01,94,100,14.7,,0.57,0
Poum,NC,-20.23,164.02,69.84,72,26,14.7,,0.0,0
Richards Bay,ZA,-28.78,32.04,62.91,79,1,4.25,,0.0,0
Seabra,BR,-12.42,-41.77,80.35,45,69,6.4,,0.0,0
Foumban,CM,5.73,10.9,67.15,95,99,1.88,,2.18,0
Buraydah,SA,26.33,43.98,102.2,18,25,8.05,,0.0,0
Inuvik,CA,68.35,-133.72,39.2,100,90,12.75,,0.0,0
Kruisfontein,ZA,-34.0,24.73,49.59,91,10,2.59,,0.0,0
Benguela,AO,-12.58,13.41,70.23,85,2,3.6,,0.0,0
Warrnambool,AU,-38.38,142.48,48.0,91,92,13.78,,0.17,0
Alice Springs,AU,-23.7,133.88,44.6,62,100,7.58,,0.0,0
High Level,CA,58.52,-117.14,60.8,93,75,9.17,,0.0,0
Monrovia,LR,6.3,-10.8,77.0,94,75,5.82,,0.0,0
Buenos Aires,AR,-34.61,-58.38,57.99,67,83,5.82,,0.0,0
Lucea,JM,18.45,-78.17,87.8,74,20,21.92,,0.0,0
Tezu,IN,27.92,96.17,78.49,77,27,3.09,,0.13,0
Pudozh,RU,61.81,36.53,61.61,60,88,6.51,,0.0,0
Lata,PT,40.16,-8.33,73.99,56,0,8.01,,0.0,0
Clyde River,CA,70.47,-68.59,53.6,62,75,14.99,,0.0,0
Kapaa,US,22.08,-159.32,78.8,83,75,14.99,,0.25,0
Avarua,CK,-21.21,-159.78,71.6,100,2,2.24,,0.0,0
Luganville,VU,-15.53,167.17,75.2,78,90,9.17,,0.0,0
Butaritari,KI,3.07,172.79,82.26,77,79,11.74,,0.13,0
Loucovice,CZ,48.62,14.26,70.0,73,47,5.01,,0.0,0
Lagoa,PT,39.05,-27.98,69.13,87,28,8.01,,0.0,0
Benton,US,36.33,-94.33,91.0,52,1,3.36,,0.0,0
Soyo,AO,-6.13,12.37,73.26,82,24,9.86,,0.0,0
Tacuarembo,UY,-31.73,-55.98,54.77,60,0,6.4,,0.0,0
Tatarsk,RU,55.22,75.98,63.61,88,98,8.03,,0.0,0
Abnub,EG,27.27,31.15,95.0,26,0,11.41,,0.0,0
Bhuj,IN,23.27,69.67,87.49,72,87,16.4,,0.0,0
Kavieng,PG,-2.57,150.8,82.44,71,59,1.5,,0.0,0
Saskylakh,RU,71.92,114.08,44.98,61,0,13.27,,0.0,0
Roma,US,43.21,-75.46,75.99,83,75,6.93,,2.29,0
Saint-Philippe,RE,-21.36,55.77,69.8,68,75,6.93,,0.0,0
Sibut,CF,5.72,19.07,73.45,91,93,3.09,,0.0,0
Qandala,SO,11.47,49.87,93.58,43,1,7.14,,0.0,0
Los Llanos De Aridane,ES,28.66,-17.92,73.4,73,40,18.34,,0.0,0
Minuri,PH,16.54,121.86,74.14,86,4,1.99,,0.0,0
Raudeberg,NO,61.99,5.14,54.0,58,40,4.7,,0.0,0
Coihaique,CL,-45.58,-72.07,44.6,56,20,4.7,,0.0,0
Sibu,MY,2.3,111.82,77.0,94,40,6.93,,0.0,0
Jalingo,NG,8.88,11.37,80.28,81,89,5.1,,0.0,0
Ahuimanu,US,21.44,-157.84,79.0,65,40,3.36,,0.0,0
Paka,MY,4.64,103.44,78.8,94,100,2.24,,2.93,0
Inirida,CO,3.87,-67.92,88.41,66,97,1.07,,0.59,0
Morehead,US,37.27,-87.18,91.0,48,40,5.82,,0.0,0
Pitimbu,BR,-7.47,-34.81,78.8,83,75,2.24,,0.0,0
Vostok,RU,46.49,135.88,52.3,78,0,4.88,,0.0,0
Pacific Grove,US,36.62,-121.92,71.01,72,40,8.05,,0.0,0
Kavaratti,IN,10.57,72.64,83.43,78,100,18.39,,0.12,0
Port Macquarie,AU,-31.43,152.92,43.0,98,6,9.17,,0.0,0
Sayyan,YE,15.17,44.32,72.1,35,88,5.17,,0.0,0
Pozo Colorado,PY,-23.49,-58.8,68.95,39,0,4.81,,0.0,0
Jalu,LY,29.03,21.55,89.65,16,0,7.0,,0.0,0
Sakakah,SA,29.97,40.21,102.2,10,0,6.93,,0.0,0
Itarema,BR,-2.92,-39.92,83.19,71,75,15.32,,0.19,0
Cartagena,CO,10.4,-75.51,87.8,70,75,9.17,,0.0,0
Mount Gambier,AU,-37.83,140.77,48.2,100,75,8.05,,0.0,0
Ibra,OM,22.69,58.53,83.28,68,33,8.37,,0.0,0
Camapua,BR,-19.53,-54.04,77.02,40,26,4.18,,0.0,0
Avera,US,33.19,-82.53,93.2,41,40,5.82,,0.0,0
Belmonte,BR,-15.86,-38.88,78.8,74,40,12.75,,0.0,0
Aswan,EG,24.09,32.91,93.87,10,0,10.38,,0.0,0
Kangaatsiaq,GL,68.31,-53.46,42.17,85,36,15.97,,0.0,0
Upernavik,GL,72.79,-56.15,38.39,85,18,10.85,,0.0,0
La Ronge,CA,55.1,-105.28,71.6,60,20,8.05,,0.0,0
Bastrop,US,32.76,-91.87,87.01,70,1,3.36,,0.0,0
Basco,PH,20.45,121.97,84.27,80,50,10.8,,0.0,0
Novyye Burasy,RU,52.13,46.07,69.93,67,59,3.44,,0.0,0
Dunedin,NZ,-45.87,170.5,46.0,86,100,13.29,,0.0,0
Faya,SA,18.39,42.45,75.2,53,40,11.41,,0.0,0
Nardaran,AZ,40.56,50.01,75.2,60,0,6.93,,0.0,0
Murakami,JP,38.23,139.48,65.7,86,100,4.83,,0.27,0
Batsfjord,NO,70.63,29.72,50.0,71,79,6.93,,0.0,0
Damghan,IR,36.17,54.35,77.47,43,0,8.95,,0.0,0
Puerto Escondido,MX,15.85,-97.07,84.2,62,75,6.93,,0.0,0
La Union,PE,-5.4,-80.75,78.19,47,62,10.85,,0.0,0
Mandalgovi,MN,45.76,106.27,64.6,54,52,1.88,,0.83,0
San Antonio,US,29.42,-98.49,90.0,48,1,4.7,,0.0,0
Palana,RU,59.12,159.97,42.46,85,16,7.02,,0.0,0
Conceicao Do Araguaia,BR,-8.26,-49.26,93.2,38,3,4.7,,0.0,0
Cidreira,BR,-30.18,-50.21,54.19,59,0,9.17,,0.0,0
Vilyuysk,RU,63.76,121.62,52.12,86,100,6.24,,0.0,0
Leh,IN,34.17,77.58,59.25,37,41,6.64,,0.0,0
Mangrol,IN,21.12,70.12,85.71,79,98,16.35,,1.15,0
Chokurdakh,RU,70.63,147.92,38.41,87,100,16.8,,0.0,0
Presidencia Roque Saenz Pena,AR,-26.79,-60.44,65.19,37,0,9.78,,0.0,0
Antofagasta,CL,-23.65,-70.4,62.6,63,20,10.29,,0.0,0
Dingle,PH,11.0,122.67,77.59,87,93,2.57,,0.73,0
Tual,ID,-5.67,132.75,80.02,81,18,24.11,,0.0,0
Guerrero Negro,MX,27.98,-114.06,81.16,41,0,10.0,,0.0,0
Port Moresby,PG,-9.44,147.18,75.2,83,20,17.22,,0.0,0
Lompoc,US,34.64,-120.46,68.0,77,0,4.7,,0.0,0
Egvekinot,RU,66.32,-179.17,43.11,76,33,2.26,,0.0,0
Nagato,JP,34.38,131.2,70.0,94,75,3.36,,0.0,0
Pleszew,PL,51.9,17.79,73.99,48,49,6.73,,0.0,0
Constitucion,CL,-35.33,-72.42,55.2,93,100,6.85,,0.66,0
Norman,US,35.22,-97.44,93.0,52,1,4.5,,0.0,0
Bestobe,KZ,52.5,73.1,67.1,79,98,15.5,,0.0,0
Owando,CG,-0.48,15.9,75.96,84,100,2.8,,0.0,0
Vardenis,AM,40.18,45.73,54.18,77,75,7.49,,0.0,0
Isangel,VU,-19.55,169.27,57.2,93,20,4.7,,0.0,0
Shache,CN,38.42,77.24,85.59,15,88,10.6,,0.0,0
Cravo Norte,CO,6.3,-70.2,82.2,82,100,8.68,,3.5,0
Laguna,US,38.42,-121.42,75.0,49,1,4.7,,0.0,0
Nome,US,64.5,-165.41,45.0,100,90,3.36,,0.0,0
Santa Maria,BR,-29.68,-53.81,54.7,57,0,2.48,,0.0,0
Mineiros,BR,-17.57,-52.55,79.41,41,1,2.17,,0.0,0
Beringovskiy,RU,63.05,179.32,43.52,88,93,11.99,,0.0,0
Cabra,ES,37.47,-4.44,95.0,14,0,6.93,,0.0,0
Tynda,RU,55.17,124.72,53.02,91,65,2.48,,0.0,0
Ambon,ID,-3.7,128.18,78.55,83,54,12.8,,0.3,0
Bethel,US,41.37,-73.41,84.2,62,75,3.36,,0.0,0
Dalnerechensk,RU,45.93,133.72,59.0,93,0,5.41,,0.0,0
Aykhal,RU,66.0,111.5,48.38,80,36,7.05,,0.0,0
Shimoda,JP,34.67,138.95,63.0,95,100,16.02,,9.45,0
Taoudenni,ML,22.68,-3.98,115.2,5,0,6.17,,0.0,0
Dauriya,RU,49.93,116.87,64.42,57,53,3.47,,0.0,0
Lokoja,NG,7.8,6.74,79.16,85,86,7.29,,0.5,0
Neiafu,TO,-18.65,-173.98,73.4,73,20,9.17,,0.0,0
Hamilton,US,39.18,-84.53,93.0,43,40,5.82,,0.0,0
Husavik,IS,66.04,-17.34,60.8,41,19,18.34,,0.0,0
Nouadhibou,MR,20.93,-17.03,71.6,83,14,18.34,,0.0,0
San Quintin,MX,30.48,-115.95,74.28,59,0,12.5,,0.0,0
Armenis,RO,45.2,22.32,69.37,79,39,1.3,,0.69,0
Luis Correia,BR,-2.88,-41.67,87.12,58,58,11.12,,0.0,0
Beisfjord,NO,68.38,17.6,55.4,58,100,12.75,,0.0,0
Zhuhai,CN,22.28,113.57,84.2,89,40,11.41,,0.0,0
Kahului,US,20.89,-156.47,80.6,69,40,10.29,,0.0,0
Dubti,ET,11.74,41.09,99.32,19,26,19.01,,0.0,0
Makakilo City,US,21.35,-158.09,80.6,61,1,6.93,,0.0,0
Biltine,TD,14.53,20.92,95.95,23,3,6.42,,0.0,0
Conde,BR,-7.26,-34.91,78.8,83,75,2.24,,0.0,0
Kinablangan,PH,7.69,126.55,77.63,79,54,4.29,,0.0,0
Jibuti,DJ,11.5,42.5,100.4,37,1,4.7,,0.0,0
Tara,RU,56.89,74.37,61.14,78,64,7.43,,0.0,0
Airai,TL,-8.93,125.41,57.36,100,72,3.96,,0.0,0
Yar-Sale,RU,66.83,70.83,54.64,94,38,3.74,,0.0,0
Macamic,CA,48.75,-79.0,77.0,47,40,10.29,,0.0,0
Rock Sound,BS,24.9,-76.2,84.67,65,98,5.37,,0.0,0
Mar Del Plata,AR,-38.0,-57.56,54.0,81,90,10.29,,0.0,0
Gwanda,ZW,-20.93,29.0,59.22,37,0,5.93,,0.0,0
Akhalgori,GE,42.13,44.48,78.8,47,44,6.93,,0.0,0
Mayumba,GA,-3.43,10.66,74.41,84,86,7.76,,0.0,0
Akyab,MM,20.15,92.9,82.76,85,100,15.03,,3.39,0
Chuy,UY,-33.7,-53.46,54.1,67,14,9.82,,0.0,0
Mbini,GQ,1.57,9.61,78.8,94,40,4.7,,0.0,0
Okhotsk,RU,59.38,143.3,49.46,87,78,8.61,,0.0,0
Kolondieba,ML,11.09,-6.89,91.89,45,50,0.98,,0.0,0
Karaman,TR,37.08,33.25,72.86,30,42,1.34,,0.0,0
Evensk,RU,61.95,159.23,49.28,68,100,4.36,,0.0,0
Ambilobe,MG,-13.2,49.05,70.12,78,26,2.44,,0.0,0
Hasaki,JP,35.73,140.83,68.0,100,75,9.17,,0.0,0
Tabuk,PH,17.42,121.44,74.77,86,12,2.77,,0.0,0
Semirom,IR,31.42,51.57,66.49,25,0,5.86,,0.0,0
Vila Franca Do Campo,PT,37.72,-25.43,71.6,73,40,9.17,,0.0,0
Kodiak,US,57.79,-152.41,60.8,72,20,5.82,,0.0,0
Detroit,US,42.33,-83.05,91.4,46,75,6.93,,0.0,0
Yaan,NG,7.38,8.57,77.76,90,94,8.12,,0.39,0
Saint George,US,37.1,-113.58,93.99,19,1,4.7,,0.0,0
Mayo,US,38.89,-76.51,93.0,52,1,3.36,,0.0,0
Pangnirtung,CA,66.15,-65.71,46.4,75,20,13.87,,0.0,0
Sao Filipe,CV,14.9,-24.5,75.56,81,47,9.82,,0.0,0
Imeni Poliny Osipenko,RU,52.42,136.49,58.87,92,100,5.19,,0.0,0
Cherskiy,RU,68.75,161.3,46.18,93,100,8.75,,0.6,0
Nyurba,RU,63.28,118.33,51.67,82,66,7.02,,0.0,0
Te Anau,NZ,-45.42,167.72,41.86,92,100,2.44,,2.67,0
General Roca,AR,-39.03,-67.58,42.8,93,75,6.93,,0.0,0
Danilovka,RU,50.36,44.12,73.53,77,57,2.06,,0.37,0
Bathsheba,BB,13.22,-59.52,86.0,70,40,20.8,,0.0,0
Garowe,SO,8.41,48.48,84.96,40,9,21.52,,0.0,0
Sao Pedro,BR,-22.55,-47.91,67.64,48,0,3.49,,0.0,0
Peniche,PT,39.36,-9.38,70.0,70,0,15.99,,0.0,0
Mahebourg,MU,-20.41,57.7,71.6,64,75,10.29,,0.0,0
Brwinow,PL,52.14,20.72,72.0,68,20,5.82,,0.0,0
Grevena,GR,40.08,21.43,82.0,64,47,1.01,,0.0,0
Dabou,CI,5.33,-4.38,80.6,83,75,11.41,,0.0,0
Tabou,CI,4.42,-7.35,76.73,83,82,11.7,,0.0,0
Ourem,PT,39.64,-8.59,77.0,60,0,14.34,,0.0,0
Pachino,IT,36.72,15.09,81.0,80,0,10.71,,0.0,0
Seoul,KR,37.57,126.98,68.0,94,1,3.38,,0.25,0
Norman Wells,CA,65.28,-126.83,53.6,76,75,8.05,,0.0,0
Vanavara,RU,60.34,102.28,62.26,68,2,6.53,,0.0,0
Iquique,CL,-20.22,-70.14,64.4,63,40,6.93,,0.0,0
Bonavista,CA,48.65,-53.11,48.0,84,98,3.0,,0.0,0
Zhoucheng,CN,35.91,116.31,69.19,83,97,5.93,,0.0,0
Necochea,AR,-38.55,-58.74,51.01,77,100,3.0,,0.0,0
Ancud,CL,-41.87,-73.82,48.99,87,75,5.82,,0.0,0
Asau,RO,46.43,26.4,64.99,94,81,4.94,,0.7,0
Tulskiy,RU,44.51,40.18,76.14,64,40,7.07,,0.0,0
Porto Velho,BR,-8.76,-63.9,80.6,83,75,1.12,,0.0,0
Paracatu,BR,-17.22,-46.87,81.48,41,27,3.0,,0.0,0
Providencia,MX,28.72,-111.58,98.01,43,0,1.01,,0.0,0
Semey,KZ,50.41,80.23,67.8,48,66,7.81,,0.0,0
Zabid,YE,14.2,43.32,91.09,48,88,16.4,,0.0,0
Hauterive,FR,46.09,3.45,71.6,43,18,11.41,,0.0,0
Hualmay,PE,-11.1,-77.61,66.51,63,25,8.81,,0.0,0
Ponta Delgada,PT,37.73,-25.67,71.6,73,40,9.17,,0.0,0
Odienne,CI,9.51,-7.57,83.08,69,79,3.56,,1.33,0
Havre-Saint-Pierre,CA,50.23,-63.6,60.8,77,75,8.05,,0.0,0
Rio Gallegos,AR,-51.62,-69.22,30.2,100,90,4.7,,0.0,0
Zaysan,KZ,47.47,84.87,62.91,54,12,5.59,,0.0,0
Pevek,RU,69.7,170.31,48.4,62,24,20.36,,0.0,0
Raga,SS,8.46,25.68,74.05,87,23,4.05,,0.13,0
Novovorontsovka,UA,47.5,33.92,83.64,51,29,8.12,,0.0,0
Longyearbyen,SJ,78.22,15.64,44.6,75,75,1.12,,0.0,0
Abu Zabad,SD,12.35,29.25,86.95,43,4,6.26,,0.0,0
Victoria,HK,22.29,114.16,84.0,79,100,5.99,,1.67,0
Tiarei,PF,-17.53,-149.33,80.6,74,20,3.36,,0.0,0
Wilkie,CA,52.42,-108.7,70.0,67,1,7.0,,0.0,0
Souillac,MU,-20.52,57.52,71.6,64,75,10.29,,0.0,0
Rajauri,IN,33.38,74.3,84.24,29,1,7.31,,0.0,0
Nanortalik,GL,60.14,-45.24,47.91,60,26,9.28,,0.0,0
San Cristobal,VE,7.77,-72.22,89.6,46,40,20.8,,0.0,0
Tixpehual,MX,20.98,-89.52,91.99,62,75,3.0,,0.0,0
Zhigansk,RU,66.77,123.37,47.53,64,45,21.83,,0.0,0
Ishigaki,JP,24.34,124.16,83.43,84,97,13.91,,0.0,0
Lufkin,US,31.34,-94.73,91.99,66,40,6.93,,0.0,0
Khorinsk,RU,52.17,109.77,63.5,57,2,1.66,,0.0,0
Sobolevo,RU,54.43,31.9,65.16,95,99,4.36,,1.04,0
Hobyo,SO,5.35,48.53,78.73,71,50,31.47,,0.0,0
Oussouye,SN,12.48,-16.55,91.4,79,75,6.93,,0.0,0
Beyneu,KZ,45.32,55.2,83.12,15,0,4.21,,0.0,0
Yulara,AU,-25.24,130.99,51.8,50,90,9.17,,0.0,0
Maceio,BR,-9.67,-35.74,82.4,54,20,10.29,,0.0,0
Bokajan,IN,26.02,93.78,77.27,91,100,2.82,,0.0,0
Half Moon Bay,US,37.46,-122.43,68.0,59,5,8.05,,0.0,0
Sorong,ID,-0.88,131.25,78.94,81,72,9.26,,0.34,0
Yabrud,SY,33.97,36.66,89.6,18,0,10.29,,0.0,0
Luwuk,ID,-0.95,122.79,75.2,80,100,4.7,,0.36,0
Pemangkat,ID,1.17,108.97,79.68,82,70,3.15,,0.0,0
Aranos,NA,-24.13,19.12,56.25,34,0,9.62,,0.0,0
Sijunjung,ID,-0.69,100.95,72.5,91,100,0.89,,1.12,0
Eureka,US,40.8,-124.16,63.0,18,69,8.1,,0.0,0
Bandarban,BD,22.2,92.23,82.4,94,90,11.41,,0.0,0
Copala,MX,16.65,-98.98,86.79,59,88,6.69,,0.0,0
Flin Flon,CA,54.77,-101.86,77.0,47,40,12.75,,0.0,0
Taltal,CL,-25.4,-70.48,64.47,59,27,4.56,,0.0,0
Kungurtug,RU,50.6,97.52,50.58,87,78,1.54,,0.0,0
Gidam,IN,18.98,81.4,76.46,93,100,2.15,,6.67,0
Sangar,RU,63.92,127.47,51.84,81,97,5.06,,0.0,0
Apollonia,GR,36.97,24.72,80.6,69,0,4.7,,0.0,0
Askarovo,RU,53.34,58.51,64.4,55,40,8.95,,0.0,0
Rosetta,EG,31.4,30.42,78.8,78,20,9.17,,0.0,0
Cabedelo,BR,-6.98,-34.83,78.8,83,75,2.24,,0.0,0
Ewa Beach,US,21.32,-158.01,80.6,61,1,6.93,,0.0,0
Grindavik,IS,63.84,-22.43,51.8,62,40,25.28,,0.0,0
Illapel,CL,-31.63,-71.17,65.34,45,0,4.74,,0.0,0
Prince Rupert,CA,54.32,-130.32,57.2,76,90,4.7,,0.0,0
Salalah,OM,17.02,54.09,82.4,94,75,6.93,,0.0,0
Mchinji,MW,-13.8,32.88,58.87,54,29,6.02,,0.0,0
Sinnamary,GF,5.38,-52.95,83.59,74,23,9.57,,0.17,0
Maridi,SS,4.92,29.47,69.48,92,90,3.04,,0.0,0
Veraval,IN,20.9,70.37,85.98,79,100,18.23,,0.8,0
